x	y	z	data1	data2
				
-0.353	-1.490	0.718	4.007	4.667
1.176	-0.015	1.907	4.321	4.092
-0.627	-0.758	-1.498	3.371	3.261
-0.150	0.314	1.009	2.531	2.814
-0.529	1.774	1.308	1.039	0.186
0.718	-0.292	1.126	3.985	4.106
0.271	-1.867	-1.236	5.282	4.921
0.607	1.718	-0.285	1.890	1.152
-0.036	1.700	-1.942	1.483	1.461
-0.406	-0.567	-0.699	3.095	2.739
-0.090	-0.960	-1.461	3.864	3.619
-1.734	1.147	-0.198	-0.183	-0.551
-0.356	0.046	0.289	2.658	2.296
1.876	0.250	1.168	4.644	4.846
1.123	0.739	-0.321	3.489	4.169
0.916	-1.630	0.130	5.614	4.981
1.063	1.490	1.703	2.438	2.745
1.026	1.772	1.596	2.387	2.516
1.373	-1.614	0.179	6.509	6.509
1.081	1.384	1.604	2.569	3.327
1.915	1.638	-1.793	3.464	2.724
-1.555	-1.955	1.234	3.285	3.431
-0.416	0.095	-0.660	2.308	3.105
-0.032	0.601	-1.085	2.142	2.639
-0.968	-0.459	1.290	2.607	3.192
-1.852	0.597	-0.607	0.557	1.159
1.898	1.051	-1.338	4.021	5.018
0.906	0.303	-1.887	3.565	2.293
-1.408	0.528	1.821	0.829	0.898
-1.408	-0.887	0.721	2.439	2.309
0.819	1.359	1.442	2.445	1.748
-0.476	-0.293	1.756	2.939	2.556
-1.694	0.526	0.721	0.537	1.490
-0.357	1.334	1.670	0.941	1.339
-1.428	-0.919	-0.973	2.583	2.972
1.196	-0.397	1.542	4.437	5.410
1.721	0.217	1.680	4.406	4.359
-1.981	-0.225	-0.800	1.353	1.039
0.600	-1.638	-1.706	5.242	4.580
0.714	0.978	1.070	2.770	2.598
-0.986	-1.870	-1.660	4.121	3.527
1.373	-0.281	0.915	4.867	4.544
-0.824	-1.851	-0.208	4.028	3.914
-1.893	1.903	0.605	-0.902	-1.160
-1.627	0.089	-1.322	1.045	0.712
1.192	1.639	0.126	2.616	2.364
0.846	-0.467	0.535	4.775	4.320
1.134	1.538	-1.944	2.805	2.148
0.496	-0.980	-0.119	4.521	4.652
1.302	1.636	1.545	2.446	2.593
-1.860	1.578	-1.544	-0.683	-0.568
-0.378	-0.406	-0.230	2.922	3.484
-1.001	0.500	0.638	0.750	2.652
-0.076	0.270	-0.821	2.737	3.077
1.523	1.578	1.801	3.194	3.267
-0.877	-1.143	0.777	3.288	3.268
0.397	-1.985	-1.173	5.316	5.446
-1.895	1.522	0.219	-0.147	-0.127
-1.379	-1.060	1.517	2.595	2.404
1.336	-1.021	0.231	5.240	4.610
-1.220	0.564	1.009	1.401	1.430
1.319	-0.782	1.580	5.102	4.750
-0.648	1.302	1.367	0.923	1.247
0.684	1.535	-1.477	2.321	1.734
-1.791	1.781	-1.243	-0.668	-1.199
0.937	-0.437	-1.385	4.672	3.672
-0.002	1.205	-1.884	1.667	1.933
1.773	-1.372	-1.964	6.026	7.122
-0.841	0.501	0.386	1.533	1.759
-0.494	0.796	0.436	1.782	1.956
-1.545	-1.657	1.676	3.373	3.183
1.859	0.125	0.934	4.808	4.850
-0.270	1.554	-0.795	1.330	2.359
-1.662	-0.945	-0.018	2.535	1.893
0.867	-1.061	-0.967	4.902	4.848
0.027	1.359	0.931	1.858	1.332
-0.688	-0.018	-1.533	2.305	2.687
1.014	-1.391	0.984	5.825	5.532
1.344	-1.077	1.239	5.473	5.257
-0.985	0.632	0.981	1.274	1.754
0.138	0.252	-0.651	2.906	2.383
-0.259	-0.833	0.337	3.427	3.633
-1.369	0.489	-0.124	0.837	1.242
0.402	0.864	-1.651	2.608	3.325
1.750	-0.877	1.315	5.673	5.896
-1.569	-0.351	0.744	1.913	1.798
1.600	-0.551	-0.931	4.982	4.480
0.202	1.126	1.878	1.915	1.341
-0.291	-1.458	-1.265	4.069	4.463
-1.390	1.608	-0.800	-0.200	-0.349
-1.010	-0.841	-0.355	3.370	2.711
-0.211	-0.002	-1.054	2.866	2.357
0.131	1.134	-1.220	1.866	2.088
-0.581	0.708	0.822	1.795	1.824
1.092	-1.401	-1.278	5.739	6.366
1.527	0.786	0.089	3.876	4.649
0.936	-1.484	-0.815	5.604	5.951
-0.374	1.784	-0.149	0.938	1.384
0.417	1.546	1.701	1.570	1.286
0.564	0.060	-1.136	3.352	4.142
